Result of query on yeast with node count 8, max depth 8 with 100 iterations
node_count,gpu_conversion_time,gpu_runtime,cypher_runtime
START
8,276,362,2325
7,23,73,151
6,26,68,192
5,12,57,141
4,11,51,66
3,5,46,52
2,5,49,33
8,6,58,134
7,4,72,93
6,6,67,68
5,5,75,44
4,4,83,39
3,5,73,24
2,5,58,18
8,7,99,150
7,7,75,94
6,5,46,62
5,5,46,38
4,5,51,24
3,5,52,16
2,5,44,10
8,4,63,367
7,5,53,111
6,6,49,83
5,7,42,37
4,14,62,22
3,4,45,15
2,5,45,9
8,4,60,216
7,4,53,170
6,4,56,89
5,4,46,46
4,5,53,21
3,6,44,17
2,4,49,11
8,4,63,288
7,5,49,157
6,5,65,106
5,4,58,79
4,6,47,26
3,5,43,16
2,5,46,10
8,5,56,81
7,5,64,55
6,6,81,42
5,5,76,29
4,4,65,19
3,5,76,12
2,4,76,7
8,5,77,65
7,4,83,50
6,4,85,47
5,5,74,41
4,9,71,19
3,5,40,13
2,5,46,8
8,5,62,136
7,5,49,89
6,4,51,57
5,5,58,30
4,5,56,17
3,5,61,12
2,6,50,8
8,5,67,3899
7,4,64,1810
6,4,62,677
5,4,66,51
4,4,55,18
3,4,46,14
2,4,45,2
8,4,77,49
7,4,87,40
6,4,78,25
5,5,82,24
4,5,75,13
3,5,70,10
2,6,70,8
8,5,78,48
7,4,79,37
6,4,87,31
5,6,76,29
4,6,62,12
3,4,39,10
2,4,37,9
8,4,59,114
7,4,58,60
6,4,47,33
5,4,49,27
4,4,53,14
3,4,52,10
2,5,44,6
8,5,63,50
7,5,70,35
6,5,59,30
5,5,82,20
4,5,81,15
3,5,82,10
2,4,67,7
8,5,95,62
7,5,85,46
6,6,108,34
5,5,71,22
4,7,74,17
3,6,74,15
2,6,44,7
8,5,54,70
7,6,50,57
6,5,53,43
5,4,50,29
4,4,48,14
3,4,58,18
2,4,51,7
8,5,65,35
7,3,65,27
6,5,66,20
5,5,55,17
4,4,65,11
3,5,62,9
2,4,49,6
8,4,58,63
7,4,60,35
6,4,64,23
5,6,85,17
4,4,115,12
3,4,152,8
2,4,151,6
8,4,153,164
7,6,75,111
6,6,53,21
5,4,44,14
4,4,37,11
3,5,41,7
2,5,42,1
8,5,51,99
7,5,48,87
6,4,49,70
5,4,52,27
4,4,46,22
3,4,46,12
2,3,43,7
8,4,72,177
7,5,50,140
6,5,59,125
5,4,56,77
4,5,77,31
3,4,45,10
2,4,46,6
8,5,57,44
7,5,56,24
6,5,52,19
5,5,57,14
4,4,47,10
3,5,59,8
2,6,54,7
8,5,57,32
7,4,56,26
6,5,63,20
5,4,49,13
4,5,59,12
3,4,57,10
2,4,52,5
8,4,72,49
7,5,69,206
6,4,71,101
5,6,69,31
4,7,59,17
3,4,47,9
2,5,46,7
8,4,57,39
7,4,51,25
6,5,53,21
5,4,56,15
4,4,56,11
3,4,57,10
2,5,65,8
8,6,59,66
7,5,60,38
6,4,65,25
5,4,66,18
4,5,55,15
3,4,61,8
2,4,72,7
8,6,63,55
7,4,71,33
6,4,69,24
5,4,63,19
4,4,75,13
3,4,105,11
2,3,97,6
8,5,144,104
7,5,76,73
6,6,67,50
5,10,60,24
4,5,43,15
3,5,53,9
2,4,39,6
8,5,63,3
7,5,61,3
6,4,57,3
5,4,53,3
4,4,64,3
3,5,55,2
2,4,52,1
8,4,57,43
7,4,64,33
6,4,62,31
5,4,65,21
4,5,60,10
3,3,57,8
2,4,57,7
8,5,73,33
7,5,56,24
6,6,63,21
5,5,75,15
4,4,97,11
3,6,110,7
2,4,153,1
8,3,139,63
7,5,168,40
6,4,155,30
5,5,149,20
4,4,163,26
3,5,127,12
2,9,99,12
8,6,75,56
7,5,85,43
6,6,70,34
5,5,60,42
4,5,47,16
3,4,41,10
2,4,40,3
8,5,55,157
7,4,55,109
6,4,51,69
5,4,48,46
4,6,70,18
3,7,69,9
2,5,31,5
8,4,42,49
7,4,50,32
6,6,44,19
5,4,43,18
4,4,47,11
3,5,50,7
2,5,44,5
8,5,55,31
7,5,52,22
6,4,52,16
5,5,55,14
4,5,59,10
3,4,58,7
2,4,67,1
8,4,74,38
7,4,65,26
6,4,69,21
5,5,59,14
4,4,57,12
3,4,63,9
2,4,71,6
8,4,103,87
7,4,120,40
6,5,91,23
5,4,113,16
4,5,100,12
3,4,99,9
2,3,100,1
8,4,156,929
7,5,50,250
6,5,48,169
5,4,42,48
4,4,38,26
3,4,35,10
2,4,42,1
8,5,46,60
7,4,44,45
6,5,46,27
5,4,46,14
4,4,49,10
3,5,47,9
2,5,43,6
8,5,52,41
7,6,65,32
6,4,52,21
5,5,53,17
4,5,55,11
3,5,52,9
2,4,53,2
8,5,64,57
7,4,57,38
6,5,59,26
5,4,56,16
4,6,58,10
3,6,85,7
2,21,72,2
8,8,76,51
7,5,62,43
6,7,61,24
5,4,42,17
4,4,53,13
3,5,52,8
2,4,46,6
8,5,53,41
7,4,55,29
6,4,47,19
5,5,53,15
4,5,52,10
3,6,58,7
2,6,60,5
8,4,68,37
7,5,54,28
6,4,67,21
5,6,56,14
4,4,63,10
3,5,58,8
2,5,64,5
8,5,66,82
7,6,1156,6160
6,4,83,609
5,4,57,209
4,4,41,32
3,4,45,9
2,4,35,1
8,4,50,48
7,5,49,25
6,4,43,16
5,4,51,15
4,4,48,10
3,4,47,8
2,4,51,5
8,3,65,176
7,7,53,61
6,4,40,254
5,5,37,20
4,4,42,13
3,4,37,2
2,4,32,2
8,6,49,42
7,5,45,25
6,5,45,22
5,4,50,16
4,4,45,11
3,4,44,10
2,3,45,1
8,4,61,36
7,91,61,32
6,7,48,26
5,5,45,18
4,4,45,13
3,4,49,10
2,4,41,1
8,4,49,43
7,4,59,33
6,4,56,20
5,4,58,13
4,4,59,8
3,5,49,7
2,3,52,6
8,5,63,228
7,7,62,37
6,7,47,21
5,4,52,19
4,4,57,11
3,4,50,8
2,4,45,6
8,5,58,66
7,4,49,34
6,4,59,28
5,4,47,19
4,6,64,16
3,11,54,8
2,4,33,3
8,5,49,106
7,5,54,70
6,4,48,58
5,8,60,22
4,4,48,12
3,4,38,1
2,4,42,2
8,4,56,39
7,5,45,28
6,5,47,16
5,5,49,14
4,4,49,10
3,5,48,9
2,4,49,5
8,4,66,91
7,6,64,62
6,5,40,35
5,4,54,20
4,5,54,15
3,4,63,8
2,5,56,1
8,5,84,289
7,8,67,129
6,5,71,32
5,4,63,17
4,4,48,11
3,5,52,7
2,9,49,2
8,4,40,33
7,4,49,26
6,6,50,25
5,5,45,15
4,4,52,11
3,6,44,8
2,5,45,6
8,4,56,74
7,5,51,47
6,5,57,37
5,8,62,22
4,6,43,10
3,5,40,8
2,4,38,6
8,6,48,62
7,4,47,67
6,5,47,25
5,4,49,14
4,3,54,10
3,4,47,7
2,4,46,4
8,5,67,4
7,6,83,3
6,7,62,2
5,4,42,2
4,5,50,2
3,4,45,2
2,4,44,1
8,4,63,215
7,7,58,83
6,4,51,47
5,5,46,25
4,4,44,12
3,4,47,12
2,3,49,12
8,6,70,29
7,4,50,23
6,4,48,16
5,5,44,12
4,4,44,11
3,4,48,7
2,5,42,4
8,4,59,49
7,4,65,35
6,4,55,24
5,5,57,16
4,5,58,11
3,3,55,8
2,4,54,1
8,13,82,307
7,4,45,206
6,4,67,126
5,5,51,29
4,5,48,19
3,3,42,7
2,4,41,5
8,5,51,56
7,6,39,23
6,4,52,23
5,6,49,13
4,4,42,9
3,5,43,7
2,6,41,5
8,6,55,35
7,4,51,25
6,4,51,23
5,5,52,16
4,4,49,10
3,4,50,8
2,5,48,5
8,4,60,57
7,5,79,44
6,6,42,20
5,4,44,15
4,3,55,11
3,5,53,7
2,4,44,5
8,4,55,36
7,5,54,27
6,4,51,19
5,4,56,15
4,4,55,11
3,5,55,7
2,4,46,7
8,6,56,34
7,4,71,35
6,6,77,27
5,4,40,17
4,4,44,11
3,4,56,9
2,5,42,2
8,4,61,170
7,4,225,4777
6,4,75,382
5,4,55,74
4,4,58,44
3,6,56,11
2,4,47,1
8,4,56,69
7,7,44,24
6,4,39,18
5,3,45,14
4,4,53,11
3,5,52,8
2,4,41,5
8,4,55,31
7,4,57,24
6,5,51,19
5,4,50,15
4,5,51,11
3,4,50,9
2,4,43,5
8,5,58,66
7,6,62,35
6,6,48,20
5,4,49,15
4,4,44,11
3,4,51,9
2,4,40,4
8,5,52,33
7,3,58,32
6,5,56,25
5,5,52,15
4,4,50,10
3,5,53,8
2,4,43,2
8,4,52,39
7,6,76,29
6,6,54,17
5,3,40,14
4,4,46,10
3,4,44,8
2,4,45,1
8,4,55,48
7,4,50,35
6,4,49,25
5,4,56,18
